period	stream_id	stream_label	suprathematique	suprathematique_label	isolated	cluster_id	cluster_univ_id	data	pos_y	pos_x	pos_x_t	term	weight	density	parameters
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	carbon footprint	0.023996194720951564	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	energy consumption	0.039765804948593636	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	natural gas	0.03006930005362703	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	agricultural production	0.022447793314834666	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	energy efficiency	0.023424445277201812	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	environmental sustainability	0.0038337690045854435	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	food chain	0.01220212956627756	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	Sustainable Development Goals	0.014325228427534767	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	production systems	0.04193474809989709	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
2001_2021	5	environmental impacts - climate change	1	environmental impacts - climate change	1	0	2	environmental impacts & climate change	0.0	0.0	0.0	energy sources	0.026999579255163938	0.9805889415718666	overl_size:False;computeoptimaldistancethres:True;dist:distributional;het_typ:True;field2:Terms;CDM:louvain;nb_per:1;field1:Terms;k_nearest:99999;top_node:200;distance_mode:cooc;orph:False;time_sp:homogeneous;int-thres:0.27;top_edges:99999;d_thres:0.1;period_size:None;norm:norm
