,abstract,doi,journal,keywords,scopus_id,title,year
0,"© 2021, The Author(s). Knowledge of the interactions between soil systems, management practices, and climatic extremes are critical for prescription-based sustainable practices that reduce environmental pollution/footprints, disruption of food supply chains, food contamination, and thus improve socio-economic wellbeing. Soil quality status and dynamics under climate change present both a hazard which may not be remedied by simply adding chemicals or improved by crop varieties, and an opportunity (e.g., by indicating impact of a shift in land use) although the specifics remain debatable. This entry not only revisits the science of soil quality determination but also explicates on intricacies of monitoring using big data generated continuously and integrated using the “internet of things.” Indeed, relaying credible soil quality information especially for heterogeneous soils at field scale is constrained by challenges ranging from data artifacts and acquisition timing differences, vague baselines, validation challenges, scarcity of robust standard algorithms, and decision support tools. With the advent of digital technology, modern communication networks, and advancement in variable rate technologies (VRT), a new era has dawned for developing automated scalable and synthesized soil quality metrics. However, before digital technology becomes the routine tool for soil quality sensing and monitoring, there is need to understand the issues and concerns. This contribution not only exemplifies a unique application of digital technology to detect residue cover but also deliberates on the following questions: (1) is digital agriculture the missing link for integrating, understanding the interconnectivity, and ascertaining the provenance between soil quality, agronomic production, environmental health, and climate dynamics? and (2) what are the technological gaps?[Figure not available: see fulltext.]",10.1186/s40643-020-00359-x,Bioresources and Bioprocessing,Accuracy | Digital mapping | Soil quality | Spatial interpolation,85099049589,Digital technology dilemma: on unlocking the soil quality index conundrum,2021.0
1,"© 2021 Institution of Chemical Engineers Beneficial to the environment but complex in nature, closed-loop supply chain (CLSC) has been understandably a topic of studies for a lot of researchers. However, most of the literature focuses on the homogeneity of CLSC products and on the dyadic structure of the CLSC mostly involving single manufacturers, distributors, or retailers. Very seldom do we find studies conducted in the analysis of the CLSC with network structure, in which multiple agents compete and coordinate. Inspired by some recent business cases, we develop a coupled CLSC network model dealing with heterogeneous products facing different market demands. The end-of-life product from the forward supply chain is collected and recycled so that raw material can be extracted and used as an input for the reverse supply chain which produces another type of product. Moreover, in each supply chain, raw material suppliers, manufactures, and retailers have to compete and coordinate to satisfy the demand while the forward and reverse supply chains have to work together to materialize the supply chain “loop”. Additionally, a CLSC network equilibrium is defined and studied by using variational inequalities. The properties of the equilibrium solution are also examined. By applying the modified projection method, we analyze a series of numerical examples. Based on the proposed model, the managerial insights are provided to show how the market size of the forward chain, raw material costs in both forward chain and reverse chain impact the demand, equilibrium prices and total profits of the CLSC network. It is also worth noting that the consumers' environmental awareness is critical to make the coupled CLSC networks viable.",10.1016/j.spc.2021.01.037,Sustainable Production and Consumption,Closed-loop supply chain | Heterogeneous demand | Network equilibrium | Network interaction | Variational inequality,85100463336,Closed-loop supply chain network with interaction of forward and reverse logistics,2021.0
2,"© 2021 Elsevier Ltd The increasing demand for a sustainable Architecture, Engineering and Construction (AEC) industry has driven research domains integrating Building Information Modeling (BIM) with sustainability to gain momentum over the past years. While some studies have reviewed the development in these two domains separately, they did not address the important associations between them, nor did they analyze their joint advancement over time. Therefore, this study aims to understand and quantitatively analyze the dynamic evolution of relationships between BIM and sustainability critical towards developing BIM's functionalities to satisfy the industry's growing sustainability needs. First, 523 relevant journal articles published over the last 15 years were collected. Rule-based content analysis is then conducted on these articles using text mining to retrieve and structure relevant textual data pertaining to the six defined dimensions: BIM functionalities, software, sustainability aspects, green certification systems, project phases, and stakeholders. Social network theory is then applied to map and measure the associations between the dimensions' components for analyzing the dynamic changes in their synergies over three spans. Results reveal a significant transformation in the diversity, magnitude, and expansion of associations between BIM and sustainability domains across the supply chain. Findings also highlight less explored areas that require further research and industrial attention towards achieving full use of BIM and sustainability's integrated power. This work's novelty lies in comprehensively and quantitatively analyzing these often-dismissed synergies to reveal through knowledge-based findings how BIM has progressed to address the industry's changing sustainability requirements and recommend future directions for advancing sustainable BIM practices.",10.1016/j.jobe.2021.102159,Journal of Building Engineering,AEC | Building information modeling (BIM) | Built environment | Social network analysis | Sustainability | Text mining,85099231707,The dynamic evolution of synergies between BIM and sustainability: A text mining and network theory approach,2021.0
3,"© 2021 Elsevier Ltd Blockchain technology is a revolutionary new protocol for sharing and updating information by linking ledgers or databases in a decentralised, peer-to-peer, open-access network. Blockchain is designed to ensure the data is stored and updated in a secure, tamper-proof and irreversible way. Despite being in its nascent stages, the blockchain research is developing rapidly in different fields, making it imperative to capture the ethical and sustainability implications of blockchain development and implementation. The circular economy also focuses on enhancing sustainability and social responsibility, alongside economic growth. In this article, we critically review blockchain technology's current and potential contribution to the circular economy through the lens of sustainability and social responsibility. This paper contributes to the Industry 4.0 literature by identifying, collating and organising the disparate research on blockchain, with a critical focus on its positive impact and potential repercussions for the ethics agenda. Within this narrative review, we argue and highlight the extant and potential alignment of blockchain with circular economy. Our findings show that blockchain technology can contribute to the circular economy by helping to reduce transaction costs, enhance performance and communication along the supply chain, ensure human rights protection, enhance healthcare patient confidentiality and welfare, and reduce carbon footprint. We also evaluate the challenges to blockchain implementation for circular economy, in terms of trust, illegal activities, potential for hacking and the need to address these through suitable legislation and policy development. Furthermore, we acknowledge the potential upfront costs involved in implementing blockchain technology, although we observe that the benefits are likely to exceed the challenges. We conclude this article with recommendations for future research in this field.",10.1016/j.jclepro.2021.126130,Journal of Cleaner Production,Blockchain | Circular economy | Industry 4.0 | Social responsibility | Sustainability,85100513657,Blockchain technology and the circular economy: Implications for sustainability and social responsibility,2021.0
4,"© 2020 Balancing sustainability and disruption of supply chains requires organizational ambidexterity. Sustainable supply chains prioritize efficiency and economies of scale and may not have sufficient redundancy to withstand disruptive events. There is a developing body of literature that attempts to reconcile these two aspects. This study gives a data-driven literature review of sustainable supply chain management trends toward ambidexterity and disruption. The critical review reveals temporal trends and geographic distribution of literature. A hybrid of data-driven analysis approach based on content and bibliometric analyses, fuzzy Delphi method, entropy weight method, and fuzzy decision-making trial and evaluation laboratory is used on 273 keywords and 22 indicators obtained based on the experts’ evaluation. The most important indicators are identified as supply chain agility, supply chain coordination, supply chain finance, supply chain flexibility, supply chain resilience, and sustainability. The regions show different tendencies compared with others. Asia and Oceania, Latin America and the Caribbean, and Africa are the regions needs improvement, while Europe and North America show distinct apprehensions on supply chain network design. The main contribution of this review is the identification of the knowledge frontier, which then leads to a discussion of prospects for future studies and practical industry implementation.",10.1016/j.spc.2020.09.017,Sustainable Production and Consumption,Ambidexterity | Content analysis | Data driven | Disruption | Entropy weight method | Fuzzy decision-making trial and Evaluation laboratory | Fuzzy Delphi method | Sustainable supply chain management,85093665045,Sustainable supply chain management towards disruption and organizational ambidexterity: A data driven analysis,2021.0
5,"© 2021 This study proposes a data-driven analysis that describes the overall situation and reveals the factors hindering improvement in the sustainable supply chain management field. The literature has presented a summary of the evolution of sustainable supply chain management across attributes. Prior studies have evaluated different parts of the supply chain as independent entities. An integrated systematic assessment is absent in the extant literature and makes it necessary to identify potential opportunities for research direction. A hybrid of data-driven analysis, the fuzzy Delphi method, the entropy weight method and fuzzy decision-making trial and evaluation laboratory is adopted to address uncertainty and complexity. This study contributes to locating the boundary of fundamental knowledge to advance future research and support practical execution. Valuable direction is provided by reviewing the existing literature to identify the critical indicators that need further examination. The results show that big data, closed-loop supply chains, industry 4.0, policy, remanufacturing, and supply chain network design are the most important indicators of future trends and disputes. The challenges and gaps among different geographical regions is offered that provides both a local viewpoint and a state-of-the-art advanced sustainable supply chain management assessment.",10.1016/j.resconrec.2021.105421,"Resources, Conservation and Recycling",Data-driven analysis | Entropy weight method | Fuzzy decision-making trial and evaluation laboratory | Fuzzy Delphi method | Sustainable supply chain management,85099696631,Sustainable supply chain management trends in world regions: A data-driven analysis,2021.0
6,"© 2021 This article describes and discusses nominated procurement as a means through which buyers select sub-suppliers to achieve sustainability compliance upstream in emerging economies' supply chains. Hence, it critically examines the ways buyers articulate nominated procurement and the unfolding supply chain consequences. Based on in-depth interviews and fieldwork in the Sri Lankan apparel supply chain, the findings indicate that buyers accomplish sustainability compliance among their sub-suppliers while prioritizing their own business agenda. In doing so, however, buyers perpetuate “suboptimal compliance” of raw material suppliers and “sandwiching” of direct suppliers as harmful consequences on the supply chain. These consequences link theoretically with commercial, geographical, compliance and extended-compliance pressure. This article contributes to the advancement of the Sustainable Supply Chain Management literature by theorizing about nominated procurement, direct and indirect pressure, and pointing to the supply chain consequences beyond achievements in sustainability compliance.",10.1016/j.jbusres.2021.01.040,Journal of Business Research,Business networks | Emerging economies | Nominated procurement | Sandwiching | Sustainability compliance | Sustainable Supply Chain Management,85100382982,Nominated procurement and the indirect control of nominated sub-suppliers: Evidence from the Sri Lankan apparel supply chain,2021.0
7,"© 2020 Elsevier Inc. Green closed-loop supply chain (GCLSC) is a supply chain that encompasses forward and reverse flows of components and products in logistic networks with a focus on economic and environmental performance. In the decision-making process of GCLSC, the presence of uncertainty and risk originating from the size and complexity of network is crucial to consider, and the distribution of uncertain parameter may be ambiguous. To characterize the ambiguity caused by distributional perturbation, a novel ambiguity distribution set is proposed, and further a new upside risk: upper partial moment with power q is introduced to quantify the economic risk in the GCLSC. Subsequently, a distributionally robust fuzzy GCLSC network design model which attempts to optimize the worst-case performance of the network is developed with the perspective of a trade-off between upside risk and expectation of economic cost. To format a sustainable GCLSC paradigm, the policy of carbon cap is adopted to control carbon emissions in terms of environmental constraints. Furthermore, the tractable counterpart of the proposed model is obtained by transforming distributionally robust credibility objective and constraints into their equivalent forms under ambiguous distribution of uncertain parameter. Finally, a case study on Coca-Cola Company in Northeast China is investigated to test and verify the proposed model. The advantage of proposed model is demonstrated through comparative study on distribution ambiguity free and without environmental constraint problem. Computational results reveal that the proposed model has superior capability of immunity against the risk of distribution ambiguity.",10.1016/j.apm.2020.10.042,Applied Mathematical Modelling,Ambiguity distribution set | Carbon emissions | Distributionally robust | Green closed-loop supply chain | Mixed-integer programming | Upper partial moment,85096650626,A novel robust fuzzy mean-UPM model for green closed-loop supply chain network design under distribution ambiguity,2021.0
8,"© 2021 Elsevier Ltd Addressing dual crisis of fossil fuels i.e. environmental as well as gradually decreasing reserves, design of a nationwide robust supply chain network based on bio-energy has been presented in this work. The four echelon supply chain caters the target of blending 20% bio fuels with conventional fuel during 2018–2026. The mixed integer linear programming model considers handling of multiple types of feed sources, products, transport options while performing the techno, economic and environmental analysis of the supply chain to optimally determine the operational and design decisions. The uncertainty in demand, import product price and biomass feed supply has been tackled using data driven robust optimization approach developed using fuzzy transcription of discontinuous uncertain parameter space using machine learning based unsupervised learning methods. To handle a ∼50% increase in overall biofuel demand over the nine-year planning horizon, the deterministic model shows a dynamically changing supply chain with a ∼20% increase in the newly added locations; however, the worst case robust optimization results are reported to be 6% leaner than the results obtained for the deterministic model. The sensitivity analysis of biomass availability on net present value indicates the need of 43% and above biomass feed supply to run such bio supply chain sector to survive.",10.1016/j.jclepro.2020.125702,Journal of Cleaner Production,Bio-waste | Machine learning | MILP | Neuro fuzzy clustering | Robust optimization | Supply chain uncertainty,85100197021,Achieving wealth from bio-waste in a nationwide supply chain setup under uncertain environment through data driven robust optimization approach,2021.0
9,"© 2020 This paper provides an overview of the evolution and state-of-the-art of the Operations Research and Management Science (OR/MS) subject area from 1956 to 2019. Using text mining techniques on the content of the title, abstract, and author keywords of papers classified by the Web of Science as literature review studies in OR/MS, we found that there are 76 topical consolidated clusters in the field covering a wide range of reviewed topics. Since 2015, reviews on supply chain risk management and big data analytics have had the highest impact in the field, whereas topics such as Industry 4.0, socio-technical systems, social networks, green supply, sustainable supply chain, and resilience engineering have all received significant attention from researchers. Reviews on analytic hierarchy process were found to be the most impactful overall, showing the high relevance of multi-criteria decision making in the current research and practice contexts. Furthermore, a text mining analysis of the papers citing OR/MS literature reviews showed that optimization continues to be one of the most highly influential methodological contributions of OR/MS to other research areas and that topics such as circular economy, carbon emissions, and social commerce have yet to find some traction in OR/MS research, suggesting future research and multidisciplinary opportunities for the field. Results also show that the research area of Public Administration has been greatly influenced by OR/MS reviews as 16% of all the papers published in that field have cited at least one of the 1744 review papers included in this study. Finally, a summary table of published structured literature reviews per topic (benchmarks, classifications, taxonomies) is presented as a short bibliography of OR/MS review papers.",10.1016/j.omega.2020.102388,Omega (United Kingdom),Bibliometric analysis | Emerging trends | Literature reviews | Management science | Operations research | Text mining,85098941832,Learning from the past to shape the future: A comprehensive text mining analysis of OR/MS reviews,2021.0
