abstract,title,keywords,journal,scopus_id,year,first selection,,,,,
"© 2021, The Author(s). Knowledge of the interactions between soil systems, management practices, and climatic extremes are critical for prescription-based sustainable practices that reduce environmental pollution/footprints, disruption of food supply chains, food contamination, and thus improve socio-economic wellbeing. Soil quality status and dynamics under climate change present both a hazard which may not be remedied by simply adding chemicals or improved by crop varieties, and an opportunity (e.g., by indicating impact of a shift in land use) although the specifics remain debatable. This entry not only revisits the science of soil quality determination but also explicates on intricacies of monitoring using big data generated continuously and integrated using the “internet of things.” Indeed, relaying credible soil quality information especially for heterogeneous soils at field scale is constrained by challenges ranging from data artifacts and acquisition timing differences, vague baselines, validation challenges, scarcity of robust standard algorithms, and decision support tools. With the advent of digital technology, modern communication networks, and advancement in variable rate technologies (VRT), a new era has dawned for developing automated scalable and synthesized soil quality metrics. However, before digital technology becomes the routine tool for soil quality sensing and monitoring, there is need to understand the issues and concerns. This contribution not only exemplifies a unique application of digital technology to detect residue cover but also deliberates on the following questions: (1) is digital agriculture the missing link for integrating, understanding the interconnectivity, and ascertaining the provenance between soil quality, agronomic production, environmental health, and climate dynamics? and (2) what are the technological gaps?[Figure not available: see fulltext.]",Digital technology dilemma: on unlocking the soil quality index conundrum,Accuracy *** Digital mapping *** Soil quality *** Spatial interpolation,bioresources and bioprocessing,85099049589,2021,0,,,,,
"© 1993-2012 IEEE. Counterfeit integrated circuits (ICs) have become a significant security concern in the semiconductor industry as a result of the increasingly complex and distributed nature of the supply chain. These counterfeit chips may result in performance degradation, profit reduction, and reputation risk for the manufacturer. Therefore, developing effective countermeasures against such malpractices is becoming severely crucial. Physical unclonable function (PUF)-based authentication methods have the potential to mitigate these challenges. However, PUF-based solutions are restrained by several factors, such as additional design efforts and significant area/power overhead, struggle to maintain and update challenge-response pairs (CRPs) database, and the vulnerability to machine learning (ML) attacks. In this article, we address these challenges by developing a novel database-free and enrolment-free hardware authentication approaches, i.e., a digital watermark metric for ICs. To enable efficient database-free hardware integrity verification without enrolment, first, we transform the intrinsic variations in circuit parameters, e.g., boundary scan chain (BSC) path delays in the joint test action group (JTAG) chain into robust digital signatures. Then, we perform statistical analysis on a small pilot unit of authentic chips to create a robust watermark for a complete batch of chips, which jointly captures the characteristics of the physical layout, the manufacturing process, and the foundry. The increasing complexity in the current state-of-the-art designs makes it extremely hard for an adversary to perfectly clone such statistical characterization of circuit parameters using counterfeit or compromised hardware. Besides, the proposed approach requires no additional design or hardware overhead in IC design since it utilizes an embedded structure, which inherently exists within the chips. It also obviates the design house from characterizing each manufactured chip instance, reducing overall testing cost. A path-delay measurement method at a high resolution based on clock phase sweep is introduced to measure the delay values effectively. The proposed intrinsic identifier-based authentication approach is validated by performing emulation on FPGAs and also by conducting physical measurements on custom-made printed circuit boards (PCBs). The reliability of the generated watermarks is evaluated with environmental temperature fluctuations and the aging effect.",On Database-Free Authentication of Microelectronic Components,Database-free *** emulation *** enrolment-free *** experimental *** joint test action group (JTAG) *** principal component analysis (PCA) *** runtime authentication *** watermark,ieee transactions on very large scale integration (vlsi) systems,85097936573,2021,0,,,,,
"The present study aimed to identify the most important achievement in the area of the supply chain (SC) during the past two decades using meta-methodology, co-word analysis, as well as systematic review and in-depth analysis. The results indicated the sustainability and resilience of SC are hot topics. Therefore, the need for qualitative and longitudinal studies and the use of methods such as ethnography or historical analysis are understood well in this respect. The current study had a holistic approach to SC, and thus simultaneously covered the relevant areas and provided an appropriate strategy for identifying the missing circles in the SC field using the meta-study and scientometric instruments. In general, the present study identified the research gaps in this field, and other studies can use them as a guideline in order to choose future research areas.",The investigation of research trends in supply chain management: an integrated method of meta-methodology and co-word analysis,Supply chain management *** meta-methodology *** co-word analysis,international journal of construction management,WOS:000560750500001,2021,0,,,,,
"In this paper, a mixed-integer linear programming model is discussed to provide joint decision making for facility location and production-distribution across countries for both forward and reverse logistics. A hybrid facility network is considered for cost-cutting and equipment sharing where the facilities of forward logistics are also equipped to provide reverse logistics services. The model considers the dynamic production and storage capacity of the facilities which can be expanded if required. Furthermore, the effectiveness of the model is tested to deal with disruptions due to man-made or natural disasters. The dynamic facility allocation enables the model to withstand the demand/supply disruptions in a disaster-affected zone. Besides this, the model considers carbon emissions caused due to manufacturing, remanufacturing, repair, storage and transportation. These emissions are regulated using cap and trade policy Thus, the proposed model balances resilience and sustainability under uncertain market demand and product returns. The chance-constrained approach is used to obtain the deterministic equivalence of the stochastic demand and returns. The paper also investigates the changes in emission and production level in each country under demand and supply disruptions. The parameters of the model are mapped with the various dimensions of big data such as volume, velocity and variety. The proposed model is solved using randomly generated data sets having realistic parameters with essential big data characteristics.",A stochastic disaster-resilient and sustainable reverse logistics model in big data environment,Reverse logistics *** Mixed-integer linear program (MILP) *** Uncertain demand and returns *** Carbon cap and trade *** Resilience,annals of operations research,WOS:000564403300002,2021,1,1,,,,
"With the process of economic globalisation, especially the Belt and Road Initiative implemented by China, the transnational supply chain is dramatically increasing, and the risk ripple effect is becoming increasingly important. Understanding and predicting the dynamic trend of risk transmission within the transnational supply chain is important to prevent the spread of risks. However, the current research lacks the dynamic interpretation of risk transmission and control in the transnational supply chain and ignores the impact of differences among suppliers and the network structure. Therefore, this paper proposed an improved susceptible-infectious-susceptible (SIS) model combined with a complex network model and an optimised approach to the selection of risk control strategies to explore three issues: first, the dynamic change and trend of risk transmission; second, the relationships and impacts of different suppliers and structure of the supply chain on risk transmission; and third, the selection of a risk control strategy within the transnational supply chain. A numerical analysis and an example of a risk control strategy selection are conducted to reveal four properties of risk transmission within the transnational supply chain. In addition, the model is verified with a simulation of a real-world scenario based on the 2011 Japanese earthquake and tsunami.",Modelling of risk transmission and control strategy in the transnational supply chain,Risk management *** global supply chain *** complexity analysis *** SIS model *** complex network model,international journal of production research,WOS:000501694000001,2021,1,,,,,
"Purpose The Industry 4.0 phenomenon is bringing unprecedented disruptions for all traditional business models and hastening the need for a redesign and digitisation of activities. In this context, the literature concerning the digital supply chain (DSC) and its capabilities are in the early stages. To bridge this gap, the purpose of this paper is to propose a framework for digital supply chain capabilities (DSCCs). Design/methodology/approach This paper uses a narrative literature approach, based on the main Industry 4.0 elements, supply chain and the emerging literature concerning DSC disruptions, to build an integrative framework to shed light on DSCCs. Findings The study identifies seven basic capabilities that shape the DSCC framework and six main enabler technologies, derived from 13 propositions. Research limitations/implications - The proposed framework can bring valuable insights for future research development, although it has not been tested yet. Practical implications - Managers, practitioners and all involved in the digitalisation phenomenon can utilise the framework as a starting point for other business digitalisation projects. Originality/value This study contributes to advancing the DSC literature, providing a well-articulated discussion and a framework regarding the capabilities, as well as 13 propositions that can generate valuable insights for other studies.",Industry 4.0 and digital supply chain capabilities A framework for understanding digitalisation challenges and opportunities,Supply chain disruption *** Digital capabilities *** Digital supply network *** Supply chain digitalization,benchmarking-an international journal,WOS:000503862400001,2021,0,,,,,
"© 2021 Institution of Chemical Engineers Beneficial to the environment but complex in nature, closed-loop supply chain (CLSC) has been understandably a topic of studies for a lot of researchers. However, most of the literature focuses on the homogeneity of CLSC products and on the dyadic structure of the CLSC mostly involving single manufacturers, distributors, or retailers. Very seldom do we find studies conducted in the analysis of the CLSC with network structure, in which multiple agents compete and coordinate. Inspired by some recent business cases, we develop a coupled CLSC network model dealing with heterogeneous products facing different market demands. The end-of-life product from the forward supply chain is collected and recycled so that raw material can be extracted and used as an input for the reverse supply chain which produces another type of product. Moreover, in each supply chain, raw material suppliers, manufactures, and retailers have to compete and coordinate to satisfy the demand while the forward and reverse supply chains have to work together to materialize the supply chain “loop”. Additionally, a CLSC network equilibrium is defined and studied by using variational inequalities. The properties of the equilibrium solution are also examined. By applying the modified projection method, we analyze a series of numerical examples. Based on the proposed model, the managerial insights are provided to show how the market size of the forward chain, raw material costs in both forward chain and reverse chain impact the demand, equilibrium prices and total profits of the CLSC network. It is also worth noting that the consumers' environmental awareness is critical to make the coupled CLSC networks viable.",Closed-loop supply chain network with interaction of forward and reverse logistics,Closed-loop supply chain *** Heterogeneous demand *** Network equilibrium *** Network interaction *** Variational inequality,sustainable production and consumption,85100463336,2021,1,,,,,
"Sustainable supply chain management plays an important role in company's sustainability success. As the frequently emerging disruptions may harm supply chain's sustainable performance, managers need to design an effective sustainable supply chain (SSC) resilience solution to mitigate different risks. In addition, it is critical to integrate customer requirements (CRs) in SSC resilience solution design as SSC's performance is highly determined by customer satisfaction (CS) in the customer-oriented market. This article proposes an integrative approach to achieve an effective design of SSC resilience solution, taking both CRs and risk factors (RFs) into consideration. In this study, the Kano model, decision-making and trial evaluation laboratory (DEMATEL) are integrated with quality function deployment (QFD) through nonlinear programming to guide companies' design. Kano model is employed to analyse CRs qualitatively and quantitatively to determine each CR's priority and CS. DEMATEL is adopted to determine the RFs' interrelationships. The results obtained with the Kano model and DEMATEL are incorporated into QFD to transform CRs into RFs, and then into resilience measures. Furthermore, a nonlinear optimisation model is formulated to achieve the optimal resilience solution with maximised CS and risk mitigation under minimum cost investment. Finally, a case study is conducted to verify the methodology.",A novel Kano-QFD-DEMATEL approach to optimise the risk resilience solution for sustainable supply chain,sustainable supply chain *** risk *** resilience *** Kano *** quality function deployment *** DEMATEL,international journal of production research,WOS:000513974000001,2021,1,1,,,,
"© 2020, Emerald Publishing Limited. Purpose: The coronavirus pandemic (COVID-19) and the associated economic lockdown provided a jolt to businesses around the world and the global economy. Amid the ongoing uncertainty, circumstances varied across business sectors and regions, but the common goal for business organizations was to respond effectively, devising strategies to survive the turmoil and accelerate recovery. The narrative in India was no different from the rest of the world. Due to the novelty of the event, literature regarding its impact on the strategic management of firms was scarce. Thus, this paper aims to attempt to ascertain the crisis impact on firms and subsequently unravel the tactical short-term and long-term strategic responses initiated by Indian firms. Design/methodology/approach: The authors carried out an empirical investigation to comprehend the strategic foresight adopted by Indian firms. Following a structured literature review, the authors conducted semi-structured open-ended interviews with 28 business experts who were involved in drafting strategic responses for their respective firms. Subsequently, the authors performed a thematic content analysis of the expert interview responses to document firm-level strategic responses to the COVID-19 crisis and associated economic lockdown. The authors further searched reputed media articles to supplement and triangulate the primary research findings with management perspectives. Findings: The authors identified that managers had adopted a dual approach responding to the disruption. Companies simultaneously focused on surviving the crisis in the short-term by reconfiguring existing resources and initiated long-term recovery by mobilizing efforts for a redesigned business model. The research findings indicated that companies had adapted to the dynamic chaotic crisis environment to fulfill the changed consumer expectations. Remote working was widely implemented, supply networks were adjusted, operations were managed with minimal resources, working capital was closely monitored and the product-portfolio was revamped to reap benefits in an essentials-only world. The impact of several strategic firm responses was determined through this study on the revenue, profitability, operational costs and regulatory adherence of the companies along with the ability to meet stakeholder expectations. The study suggested that companies encouraged innovative solutions and highlighted the importance of collaborative inter-organizational practices. Research limitations/implications: The study contributed to an inter-theoretical perspective on firm strategic initiatives to confront a global crisis. Resource-based view, dynamic capabilities perspective and industrial-organizational theory-based perspectives, were applied. This facilitated an extensive analysis of the entire business ecosystem to identify various paths to accelerated recovery during and post COVID-19 world. Practical implications: The research findings would aid managers in drafting a comprehensive response strategy during and post COVID-19 world. This study results would help managers in addressing multiple concerns such as the sustainability of operations in the short-term through working capital management, the fulfillment of changing consumer needs through sustained innovation and business model alterations to ensure long term growth. The study enabled managers to prioritize necessary actions, ascertain the impact of strategic initiatives and build sustainable competitive advantage for long-term growth. Originality/value: The novel coronavirus pandemic and the associated economic lockdown impacted firm strategies and this was one of the very first empirical studies regarding how firm-level short-term tactics and long-term strategies were getting reshaped. Traditionally, companies were prepared to handle localized disruptions but a crisis of such epic global proportions jeopardized most business. This study provided an extensive review of the short-term tactical and long-term strategic response perspectives adopted by Indian firms to absorb the impact of this unique crisis and expected recovery with renewed strength. This was one of the first research articles to provide an inter-theoretical perspective on the ongoing global pandemic. This integrated view of the possible impacts of firm-level strategic initiatives provided a detailed knowledge repository to design the crisis response capability of firms.",Coronavirus pandemic and economic lockdown; study of strategic initiatives and tactical responses of firms,Business continuity *** Economic lockdown *** Organizational tactics *** Pandemic crisis *** Strategic initiatives,international journal of organizational analysis,85099419477,2021,1,,,,,
"© 2020 Hong Kong Society for Transportation Studies Online and omnichannel retail developments placed logistics at the front-end of consumers’ purchase journeys. Particularly the last mile of the supply chain increasingly affects consumer satisfaction, while its financial and environmental impact is critical. “Crowd logistics” is introduced as a promising solution. As consumers are increasingly driving innovation and initiatives in the last mile, it is important to know their preferences and perceptions. Our objective is to identify which type of consumer is interested in a crowdsourced last mile and which particular crowd logistics services are considered interesting. To this end, we set up a survey among a sample of one-thousand consumers that represent the Belgian population. The survey is analysed using descriptive statistics and two-step cluster analysis. Analysis shows that consumers support neighbour relays and delivery by retailers’ employees, but general interest is low. A cluster analysis identifies four attitudinal profiles. One segment, labelled the “trailblazers”, are most likely to adopt crowdsourced last mile services: they strongly prefer delivery at home and rely on their community of neighbours when a delivery fails. They are more interested in last mile innovations and sustainability enhancements. The research contributes by taking a consumer perspective on the last mile and by including three types of services and four types of crowd. Three recommendations for retailers are formulated, to focus on a crowdsourcing solution that combines collection and delivery among their employees’ local network, to target consumers that fit the identified profile and to accentuate crowd logistics’ quality of enhancing information transparency.",Who is interested in a crowdsourced last mile? A segmentation of attitudinal profiles,Consumer preferences *** Crowdsourcing *** E-commerce *** Last mile delivery *** Omnichannel retail *** Sharing economy,travel behaviour and society,85089524049,2021,0,,,,,
